;species;Gap_analysis
350;Oplophorus spinosus;TRUE
351;Orania fusulus;FALSE
352;Ovatella aequalis;FALSE
353;Oxynaspis celata;TRUE
354;Pachastrella ovisternata;FALSE
355;Pachygrapsus marmoratus;TRUE
356;Pachygrapsus maurus;FALSE
357;Paludinella globularis;FALSE
358;Palythoa canariensis;FALSE
359;Papillicardium papillosum;FALSE
360;Paragalene longicrura;FALSE
361;Paramuricea grayi;FALSE
362;Parthenina clathrata;FALSE
363;Parthenina indistincta;FALSE
364;Parthenina interstincta;FALSE
365;Parvamussium fenestratum;FALSE
366;Parvicardium vroomi;FALSE
367;Parvioris ibizenca;FALSE
368;Patella aspera;FALSE
369;Patella caerulea;TRUE
370;Patella candei;FALSE
371;Patella ordinaria;FALSE
372;Patella piperata;FALSE
373;Patella ulyssiponensis;FALSE
374;Peachia cylindrica;TRUE
375;Pecten jacobaeus;TRUE
376;Pecten maximus;TRUE
377;Pedipes pedipes;TRUE
378;Pelagia noctiluca;TRUE
379;Pelagodiscus atlanticus;FALSE
380;Peponocyathus folliculus;FALSE
381;Percnon gibbesi;FALSE
382;Petrosia (Petrosia) ficiformis;FALSE
383;Philine intricata;FALSE
384;Phorcus sauciatus;FALSE
385;Phyllidia varicosa;FALSE
386;Phyllodoce madeirensis;FALSE
387;Physalia physalis;FALSE
388;Pilumnus inermis;FALSE
389;Pirimela denticulata;FALSE
390;Pisinna glabrata;FALSE
391;Plagusia depressa;FALSE
392;Planes minutus;FALSE
393;Plesiastrea desmoulinsii;FALSE
394;Pleuromamma abdominalis;TRUE
395;Pleuromamma gracilis;FALSE
396;Pleuromamma piseki;FALSE
397;Plocamione carteri;FALSE
398;Plocamopherus maderae;FALSE
399;Plumularia setacea;TRUE
400;Poecilasma aurantia;FALSE
401;Poecilasma crassa;FALSE
402;Polinices lacteus;FALSE
403;Portunus hastatus;FALSE
404;Pourtalosmilia anthophyllites;TRUE
405;Premocyathus cornuformis;FALSE
406;Procerastea nematodes;FALSE
407;Propeamussium lucidum;FALSE
408;Protatlanta souleyeti;FALSE
409;Protohyale (Protohyale) schmidtii;FALSE
410;Pseudactinia infecunda;FALSE
411;Pseudobabylonella minima;FALSE
412;Pseudomelampus exiguus;TRUE
413;Pseudoniphargus littoralis;FALSE
414;Puellina macaronensis;FALSE
415;Pusia zebrina;FALSE
416;Pusillina inconspicua;FALSE
417;Putzeysia wiseri;FALSE
418;Raphitoma purpurea;FALSE
419;Retusa mariei;FALSE
420;Retusa nitidula;FALSE
421;Retusa robagliana;FALSE
422;Retusa tenerifensis;FALSE
423;Retusa tornata;FALSE
424;Retusa umbilicata;TRUE
425;Rhabderemia intexta;FALSE
426;Rhynchonereella gracilis;TRUE
427;Rhynchozoon papuliferum;FALSE
428;Ringicula conformis;FALSE
429;Rissoa albugo;FALSE
430;Rissoa janusi;FALSE
431;Rissoa lia;FALSE
432;Rissoa lilacina;FALSE
433;Rissoa similis;FALSE
434;Rissoa violacea;FALSE
435;Rissoella contrerasi;FALSE
436;Rissoella diaphana;FALSE
437;Rissoella globularis;FALSE
438;Sarcotragus spinosulus;TRUE
439;Scoletoma funchalensis;FALSE
440;Semicassis undulata;FALSE
441;Serejohyale spinidactylus;FALSE
442;Sertularella gayi;TRUE
443;Sertularia cupressina;TRUE
444;Setia turriculata;FALSE
445;Similipecten similis;FALSE
446;Sinezona cingulata;FALSE
447;Sinezona semicostata;FALSE
448;Skenea olgae;FALSE
449;Skenea serpuloides;FALSE
450;Skeneopsis planorbis;FALSE
451;Solenosmilia variabilis;FALSE
452;Sphaerechinus granularis;TRUE
453;Spinimuricea atlantica;FALSE
454;Spinularia sarsii;FALSE
455;Spirobranchus polytrema;FALSE
456;Spirolaxis centrifuga;FALSE
457;Spirula spirula;TRUE
458;Spongia (Spongia) virgultosa;FALSE
459;Stenorhynchus lanceolatus;FALSE
460;Stenorhynchus seticornis;FALSE
461;Stephanocyathus (Odontocyathus) nobilis;FALSE
462;Stephanocyathus (Stephanocyathus) diadema;FALSE
463;Sticteulima badia;FALSE
464;Sticteulima richteri;FALSE
465;Sticteulima wareni;FALSE
466;Stramonita haemastoma;FALSE
467;Styliola subula;TRUE
468;Sycon humboldti;FALSE
469;Talochlamys multistriata;TRUE
470;Talochlamys pusio;TRUE
471;Tanacetipathes cavernicola;FALSE
472;Tanacetipathes wirtzi;FALSE
473;Tectarius striatus;TRUE
474;Tectonatica sagraiana;FALSE
475;Tectura virginea;TRUE
476;Telmatactis cricoides;FALSE
477;Telmatactis forskalii;FALSE
478;Telmatactis vestita;FALSE
479;Telodiacria quadridentata;FALSE
480;Temora stylifera;TRUE
481;Terebratulina retusa;TRUE
482;Thracia phaseolina;TRUE
483;Tonna galea;TRUE
484;Tricolia pullus;TRUE
485;Tritia cuvierii;FALSE
486;Tritia incrassata;FALSE
487;Trivia grohorum;FALSE
488;Truncatella scalaris;TRUE
489;Turbonilla lactea;FALSE
490;Urocorycaeus lautus;FALSE
491;Venus casina;FALSE
492;Venus verrucosa;TRUE
493;Vitreolina cionella;FALSE
494;Vitreolina incurva;FALSE
495;Vitreolina philippi;FALSE
496;Weinkauffia macandrewii;TRUE
497;Williamia gussoni;FALSE
498;Zebina vitrea;FALSE
;;130
