Dendrophyllia alternata
Dendrophyllia cornigera
Dendrophyllia ramea
Dendroxea lenis
Dentomuricea meteor
Desmacella annexa
Desmacella meliorata
Desmophyllum dianthus
Desmophyllum pertusum
Dexamine spiniventris
Dexamine spinosa
Diacria trispinosa
Diaphorodoris luteocincta
Diastylis tumida
Didemnum candidum
Didemnum lahillei
Diphasia alata
Diphasia attenuata
Diphasia margareta
Diplodonta rotundata
Diplosoma listerianum
Disporella hispida
Distaplia corolla
Distaplia magnilarva
Distomus hupferi
Ditrupa arietina
Dondersia todtae
Doris ocelligera
Dosima fascicularis
Doto floridicola
Doto furva
Doto koenneckeri
Dromia marmorea
Dromia personata
Dynamena disticha
Dynamena pourtalesi
Dynamene bidentata
Dynamene edwardsi
Dynamene magnitorata
Dysidea fragilis
Ebala nitidissima
Ebalia cranchii
Ebalia nux
Ebalia tuberosa
Echinocardium cordatum
Echinocardium flavescens
Echinocyamus grandiporus
Echinocyamus macrostomus
Echinocyamus pusillus
Echinogammarus marinus
Echinus melo
Ecteinascidia herdmani
Ectopleura crocea
Elachisina azoreana
Elasmopus brasiliensis
Elasmopus perditus
Elasmopus pocillimanus
Elasmopus rapax
Elasmopus vachoni
Ellisella flagellum
Elysia ornata
Elysia viridis
Enallopsammia rostrata
Endeis spinosa
Endeis straughani
Engina turbinella
Ensis megistus coseli
Entalophoroecia crisioides
Ephyrina figueirai
Epitonium algerianum
Epitonium celesti
Epitonium clathratulum
Epitonium clathrus
Epitonium pulchellum
Epitonium turtonis
Ericthonius punctatus
Eriphia verrucosa
Errina atlantica
Errina dabneyi
Ervilia castanea
Erylus discophorus
Erylus mamillaris
Ethusa microphthalma
Eualus cranchii
Eualus lebourae
Eualus occultus
Eubranchus vascoi
Eucalanus hyalinus
Euchaeta acuta
Euchaeta marina
Euchaeta media
Euchirella rostrata
Euchirograpsus liguricus
Eudendrium rameum
Eudistoma angolanum
Eudistoma clarum
Eudolium bairdii
Eulalia expusilla
Eulimella scillae
Eupelops occultus
Euphrosine armadillo
Euphrosine foliosa
Eupolymnia nebulosa
Eurydice affinis
Eurydice grimaldii
Eurynome aspera
Eurynome spinosa
Euryozius bouvieri
Eurypon coronula
Eurythenes obesus
Eurythoe complanata
Eusiroides sarsi
Fabricia stellaris
Facelina annulicornis
Favorinus branchialis
Felimare picta
Felimare tricolor
Felimida binza
Felimida clenchi
Felimida edmundsi
Felimida purpurea
Ficopomatus enigmaticus
Figularia figularis
Filellum serpens
Filellum serratum
Fiona pinnata
Firoloida desmarestia
Flabellum (Flabellum) chunii
Flabellum (Ulocyathus) alabastrum
Flabellum extensum
Flexopecten flexuosus
Folsomia thalassophila
Forcepia (Forcepia) psammophila
Fossarus ambiguus
Funchalia danae
Funchalia villosa
Funchalia woodwardi
Fungiacyathus (Bathyactis) marenzelleri
Fungiacyathus (Bathyactis) symmetricus
Galathea intermedia
Galathea squamifera
Galathea strigosa
Galeodea rugosa
Galeopsis marionensis
Gammarella fucicola
Gammaropsis maculata
Gammaropsis palmata
Gammarus crinicornis
Gammarus locusta
Gangliopus pyriformis
Gari costulata
Gastrana fragilis
Geitodoris planata
Gennadas elegans
Gennadas scutatus
Gennadas tinayrei
Gennadas valens
Genocidaris maculata
Gibberula jansseni
Gibberula lazaroi
Gibberula vignali
Gibbula delgadensis
Gibbula magus
Globivenus effossa
Glycera capitata
Glycera tesselata
Glycinde nordmanni
Glyptelasma hamatum
Gnathophyllum elegans
Golfingia (Golfingia) margaritacea
Gonothyraea loveni
Goodallia triangularis
Gorgonocephalus arcticus
Gouldia minima
Gracilechinus affinis
Graphis albida
Grapsus adscensionis
Grapsus grapsus
Gregariella semigranata
Guynia annulata
Gyrophyllum hirondellei
Gyroscala commutata
Hacelia attenuata
Haedropleura septangularis
Halecium beanii
Halecium delicatulum
Halecium halecinum
Halecium labrosum
Halecium mediterraneum
Halecium sessile
Halecium sibogae
Halecium tenellum
Halichondria (Halichondria) bowerbanki
Halichondria (Halichondria) genitrix
Halichondria (Halichondria) panicea
Haliclona (Gellius) angulata
Haliclona (Gellius) fibulata
Haliclona (Haliclona) gustavopulitzeri
Haliclona (Haliclona) simulans
Haliclona (Reniera) aquaeductus
Haliclona (Reniera) cinerea
Haliclona (Reniera) citrina
Haliclona (Reniera) mediterranea
Haliclona (Reniera) tubifera
Haliclona (Soestella) implexa
Haliclona (Soestella) mamillata
Halicnemia patera
Haliotis tuberculata
Haliphron atlanticus
Halobates (Halobates) micans
Haloentomobrya dollfusi
Halopteris catharina
Haminoea hydatis
Haminoea orteai
Hanleya hanleyi
Haplostylus normani
Harpinia laevis
Hediste diversicolor
Heliconoides inflatus
Hemicorallium niobe
Hemimycale columella
Henricia oculata
Hepomadus tener
Herbstia condyliata
Herbstia rubra
Hermodice carunculata
Heteranomia squamula
Heterocarpus ensifer
Heterocarpus laevigatus
