Exaiptasia diaphana
Exogone (Exogone) marisae
Exogone (Sylline) aquadulcensis
Farrea occa
Felimare bilineata
Felimare picta
Felimare tricolor
Felimida binza
Flabellina affinis
Flexopecten flexuosus
Folinella excavata
Fossarus ambiguus
Fusinus saundersi
Fusinus tenerifensis
Fusiturris undatiruga
Galathea faiali
Galathea intermedia
Galathea squamifera
Galeomma turtoni
Gammarella fucicola
Gargamella perezi
Gari costulata
Gari depressa
Gari virgata
Gastrosaccus roscoffensis
Geitodoris bacalladoi
Gemophos viverratoides
Geodia spherastrella
Gesiella jameensis
Gibberula caelata
Gibberula estherae
Gibberula hernandezi
Gibberula jansseni
Gibberula metoo
Gibberula miliaria
Gibberula nuryana
Gibberula recondita
Gibbula aurantia
Gibbula candei
Gibbula magus
Gibbula racketti
Gibbula spurca
Gibbula tindayaensis
Gibbula tingitana
Glycymeris glycymeris
Glycymeris pilosa
Glyptoxanthus cavernosus
Gnathophylleptum tellei
Gofasia vanderlandi
Goodallia triangularis
Gouldia minima
Grania canaria
Grania fortunata
Grania roscoffensis
Granulina guancha
Granulina rutae
Granulinopsis atlantidea
Graphis albida
Grapsus adscensionis
Grapsus grapsus
Gregariella petagnae
Gregariella semigranata
Grimpoteuthis megaptera
Gutturnium muricinum
Gyroscala commutata
Hadriania craticulata
Hadzia acutus
Haedropleura septangularis
Halcampoides purpureus
Haliclona (Halichoclona) fulva
Haliclona (Haliclona) simulans
Haliclona (Haliclona) urceolus
Haliclona (Reniera) cinerea
Haliclona (Reniera) tubifera
Haliclona (Soestella) implexa
Haliclona (Soestella) valliculata
Haliotis tuberculata
Haliotis varia
Haliris lamothei
Halocynthia papillosa
Halonympha depressa
Halosbaena fortunata
Haminoea hydatis
Haminoea navicula
Haminoea orbignyana
Haminoea orteai
Harpa doris
Hastula lepida
Heleobia canariensis
Heliacus fallaciosus
Heliconoides inflatus
Hemilepton nitidum
Hemimycale columella
Hemipolygona armata
Herbstia rubra
Hermaea conejera
Hermodice carunculata
Heteromysoides cotti
Hexaplex duplex
Hexaplex kuesterianus
Hexaplex trunculus
Hiatella arctica
Hiatella rugosa
Hipponix antiquatus
Hirtomurex squamosus
Hispanirhynchia cornea
Holothuria (Holothuria) mammata
Holothuria (Holothuria) tubulosa
Holothuria (Platyperona) sanctori
Holothuria (Roweothuria) arguinensis
Holothuria (Thymiosycia) impatiens
Homarus gammarus
Hormathia alba
Hyalinoecia tubicola
Hydatina vesicaria
Hydrobia acuta
Hymedesmia (Stylopus) coriacea
Hymenaster rex
Hymeniacidon perlevis
Hyotissa hyotis
Hypocuma serratifrons
Hyrtios collectrix
Iphinoe canariensis
Ircinia oros
Ircinia polejaeffi
Ircinia variabilis
Irus irus
Isara cornea
Isarachnanthus maderensis
Isidella elongata
Isognomon dunkeri
Isognomon perna
Janolus faustoi
Janthina janthina
Janthina pallida
Janthina umbilicata
Japonactaeon pusillus
Joania cordata
Jujubinus exasperatus
Jujubinus gravinae
Jujubinus guanchus
Jujubinus hernandezi
Jujubinus mabelae
Jujubinus poppei
Jujubinus striatus
Kaloplocamus ramosus
Kellia suborbicularis
Krachia obeliscoides
Krachia tiara
Kurtiella pellucida
Kurtiella triangularis
Labidognathia longicollis
Lacazella mediterranea
Laevicardium crassum
Laevicardium oblongum
Lamellaria perspicua
Laona condensa
Lasaea rubra
Ledella pustulosa
Leiosolenus aristatus
Leocrates atlanticus
Lepas (Anatifa) anatifera
Lepas indica
Lepidasthenia medanensis
Lepidochitona piceola
Lepidochitona stroemfelti
Lepidopleurus cajetanus
Leptaxinus incrassatus
Leptochiton algesirensis
Leptochiton odhneri
Leptogorgia ruberrima
Leptogorgia viminalis
Leptonerilla diatomeophaga
Leptopsammia pruvoti
Leptothyrella incerta
Leucon (Epileucon) ensis
Leucon (Epileucon) socius
Leucon (Epileucon) spiniventris
Leucophytia bidentata
Leufroyia concinna
Leufroyia leufroyi
Levinsenia canariensis
Lewindromia unidentata
Lima lima
Lima marioni
Limacina bulimoides
Limacina lesueurii
Limacina trochiformis
Limaria hians
Limaria loscombi
Limatula surugensis
Limopsis aurita
Limopsis cristata
Limopsis minuta
Linatella caudata
Lioberus agglutinans
Liocarcinus navigator
Lissotesta gittenbergeri
Lissotesta major
Lissotesta turrita
Lithophaga lithophaga
Litiopa melanostoma
Littorina littorea
Littorina saxatilis
Lobiger serradifalci
Loripes orbiculatus
Lucina adansoni
Lucina columbella
Luidia ciliaris
Luidia sarsii
Luria lurida
Lyonsia norwegica
Lyonsiella abyssicola
Lyonsiella subquadrata
Lysmata grabhami
Lysmata nilita
Macandrevia cranium
Macellicephala mirabilis
Macomangulus tenuis
Macropodia hesperiae
Macropodia rostrata
Madracis asperula
Madrepora oculata
Maja squinado
Makrokylindrus (Adiastylis) costatus
Makrokylindrus (Adiastylis) josephinae
Makrokylindrus (Adiastylis) longipes
Makrokylindrus (Makrokylindrus) mystacinus
Mangelia costata
Mangelia multilineolata
Mangelia unifasciata
Mangelia vauquelini
Mantacaprella macaronensis
Manupecten pesfelis
Manzonia castanea
Manzonia darwini
Manzonia dionisi
Manzonia guitiani
Manzonia heroensis
Manzonia lanzarottii
Manzonia madeirensis
Manzonia manzoniana
Manzonia overdiepi
Manzonia talaverai
Manzonia wilmae
Marginella glabella
Marginella helmatina
Marshallora adversa
Marthasterias glacialis
Mathilda cochlaeformis
Mathilda coronata
Mathilda gemmulata
Mathilda quadricarinata
Megadrilus pelagicus
Megadrilus schneideri
Megalomphalus disciformis
Meganerilla cesari
Megastomia conspicua
Megastomia desmiti
Megastomia palmaensis
Megastomia winfriedi
Megathiris detruncata
Megerlia truncata
Melanella alba
Melanella polita
Melarhaphe neritoides
Mellonympha mortenseni
Meningodora mollis
Mesonerilla armoricana
Mesotanais dubius
Metaxia metaxa
Metrarabdotos moniliferum
Microgloma pusilla
Micromelo undatus
Microstagon trigonum
Millepora alcicornis
Miscellania dentata
Mitrella broderipii
Mitrella bruggeni
Mitrella canariensis
Mitrella nitidulina
Mitromorpha cachiai
Mitromorpha canariensis
Mitromorpha hierroensis
Mitromorpha swinneni
Modiolus barbatus
Modiolus lulat
Moerella pulchella
Monophorus erythrosoma
Monophorus pantherinus
Monophorus perversus
Monophorus thiriotae
Monoplex nicobaricus
Monoplex parthenopeus
Monoplex pilearis
Monoplex trigonus
Morula mionigra
Muggiaea kochii
Munidopsis polymorpha
Muriceides lepida
Musculus costulatus
Musculus subpictus
Mycale (Aegogropila) contarenii
Mycale (Aegogropila) tenerifensis
Mycale (Carmia) macilenta
Myonera alleni
Myosotella myosotis
Mytilaster minimus
Mytilus edulis
Myxicola infundibulum
Nacella delesserti
Nanobalcis nana
Narcissia canariensis
Naria spurca
Nassarina rietae
Nassarius consensus
Natica furva
Natica livida
Natica marochiensis
Natica multipunctata
Natica prietoi
Natica rocquignyi
Nebalia kocatasi
Neolepton guanche
Neolepton moolenbeeki
Neolepton sulcatulum
Neophrissospongia nolitangere
Neopycnodonte cochlear
Nephasoma (Nephasoma) diaphanes
Nerocila armata
Nodulus contortus
Nodulus spiralis
Notocochlis dillwynii
Notodoris lanzarotensis
Nototriphora canarica
Nucella lapillus
Oceanapia isodictyiformis
Ocenebra edwardsii
Ocenebra erinaceus
Ocenebra leukos
Ocinebrina aciculata
Octopus hubbsorum
Octopus joubini
Octopus vulgaris
Octopus wolfi
Odostomella bicincta
Odostomella doliolum
Odostomia fehrae
Odostomia hierroensis
Odostomia kuiperi
Odostomia lukisii
Odostomia megerlei
Odostomia striolata
Odostomia turrita
Odostomia unidentata
Okenia ameliae
Okenia mica
Oliva flammulata
Olivella pulchella
Omalogyra antarctica
Omalogyra simplex
Ommastrephes bartramii
Onchidella celtica
Onchidoris perlucea
Ondina dilucida
Ondina obliqua
Onoba nunezi
Opalia coronata
Opalia crenata
Opalia mauritanica
Ophidiaster ophidianus
Ophiocomella alexandri
Ophioderma longicaudum
Ophryotrocha paragerlachi
Ophryotrocha splendida
Ovatella aequalis
Ovatella firminii
Oxygyrus inflatus
Oxynoe benchijigua
Oxynoe olivacea
Pachygrapsus gracilis
Pachygrapsus marmoratus
Pachygrapsus maurus
Pachygrapsus transversus
Pagodula fraseri
Pagurus anachoretus
Pagurus cuanensis
Palaemon elegans
Palicus caronii
Palinurus elephas
Palliolum incomparabile
Palpophria aestheta
Paludinella globularis
Palythoa canariensis
Palythoa caribaeorum
Palythoa grandiflora
Panderevela dacilae
Pandora pinna
Panulirus argus
Panulirus echinatus
Papillicardium papillosum
Papuliscala tavianii
Paracentrotus lividus
Paracyathus pulchellus
Paradinurus manteri
Paradoris ceneris
Paradoris mollis
Paragalene longicrura
Paramuricea grayi
Parantipathes hirondelle
Paravireia holdichi
Parazoanthus axinellae
Paromola cuvieri
Parthenina clathrata
Parvamussium fenestratum
Parvamussium propinquum
Parvicardium exiguum
Parvicardium scriptum
Parvicardium vroomi
Parvioris ibizenca
Parviturbo rolani
Patella aspera
Patella caerulea
Patella candei
Patella depressa
Patella piperata
Patella rustica
Patella ulyssiponensis
Pecten keppelianus
Pecten maximus
Pedicularia sicula
Pedipes pedipes
Pelagia noctiluca
Peltodoris atromaculata
Penaeus duorarum
Peponocyathus folliculus
Peracle bispinosa
Peracle reticulata
Perna perna
Peronidia albicans
Persicula cornea
Petaloconchus glomeratus
Petrosia (Petrosia) canariensis
Petrosia (Petrosia) ficiformis
Petrosia (Strongylophora) vansoesti
Pheronema carpenteri
Philine angulata
Philine intricata
Philippia hybrida
Phorcus atratus
Phorcus sauciatus
Phorcus turbinatus
Physalia physalis
Pilumnus inermis
Pinnotheres pisum
Pisinna glabrata
Pisione guanche
Placida verticilata
Placogorgia coronata
Plagusia depressa
Planes minutus
Planktomya nilae
Planktomya vanderlindeni
Platycuma hessleri
Platycuma sandersi
Platypodiella picta
Plesionika narval
Pleurobranchus membranaceus
Pleurocryptella formosa
Pleurotomella gibbera
Plocamopherus maderae
Plutonaster bifrons
Polinices lacteus
Polititapes aureus
Polititapes rhomboides
Porcellana platycheles
Pourtalosmilia anthophyllites
Pristigloma alba
Pristigloma minima
Procampylaspis armata
Procampylaspis lutensis
Procampylaspis ommidion
Propeamussium lucidum
Proschizorhynchus martinezi
Protatlanta sculpta
Protatlanta souleyeti
Protocuspidaria verityi
Protohyale (Protohyale) schmidtii
Prunum montseae
Prunum pacotalaverai
Pseudaegina rhodina
Pseudochama cristella
Pseudochama gryphina
Pseudocorynactis caribbeorum
Pseudomalaxis zanclaeus
Pseudomelampus exiguus
Pseudoniphargus fontinalis
Pseudorbis granulum
Pseudorbis jameoensis
Pseudoschizorhynchoides timoshkini
Pseudoscilla bilirata
Psilaxis krebsii
Puellina macaronensis
Pusia zebrina
Pusillina inconspicua
Pyrgolidium internodulum
Pyroteuthis margaritifera
Pyrunculus hoernesi
Quijote cervantesi
Ranella olearium
Raphitoma pseudohystrix
Raphitoma purpurea
Retusa leptoeneilema
Retusa mammillata
Retusa mariei
Retusa robagliana
Retusa tenerifensis
Retusa tornata
Retusa truncatula
Rhomboidella canariensis
Rhomboidella prideauxi
Rhynchonereella fulgens
Rhyssoplax canariensis
Rhyssoplax jugosa
Ringicula conformis
Ringicula gianninii
Rissoa albugo
Rissoa gomerica
Rissoa lia
Rissoa lilacina
Rissoa mirabilis
Rissoa multicostata
Rissoa pseudoguerini
Rissoa violacea
Rissoella contrerasi
Rissoella diaphana
